Rank,Player,Team,Position,"FHG Value","Games Played",SO,SV%,GAA,W,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
138,"Marek Zidlicky",DET,D,12,84," "," "," "," ",7,27,-9,130,1,20,0,95,0
139,"John Klingberg",DAL,D,12,65," "," "," "," ",11,29,5,98,3,12,0,54,0
140,"Victor Hedman",TBL,D,12,59," "," "," "," ",10,28,12,115,2,11,0,51,0
141,"Kyle Okposo",NYI,RW,12,60," "," "," "," ",18,33,-8,195,2,18,0,53,80
142,"Brian Elliott",STL,G,11,46,4,0.917,2.32,26," "," "," "," "," "," "," "," "," "
143,"Bryan Little",WPG,C,11,70," "," "," "," ",24,28,8,148,3,18,1,56,762
144,"Kris Russell",CGY,D,10,79," "," "," "," ",4,30,18,111,0,14,0,61,0
145,"Cam Fowler",ANA,D,9,80," "," "," "," ",7,27,4,87,2,9,2,47,0
146,"Ryan Miller",VAN,G,9,45,7,0.911,2.59,29," "," "," "," "," "," "," "," "," "
147,"Jason Spezza",DAL,C,8,82," "," "," "," ",17,45,-7,204,1,26,0,16,682
148,"Zdeno Chara",BOS,D,8,63," "," "," "," ",8,12,0,138,0,5,3,125,1
149,"Brayden Schenn",PHI,C,8,82," "," "," "," ",18,29,-5,156,6,19,0,199,86
150,"Simon Despres",ANA,D,8,75," "," "," "," ",3,20,11,103,1,1,0,233,0
151,"Marian Gaborik",LAK,RW,7,69," "," "," "," ",27,20,7,174,2,18,0,39,1
152,"Brandon Sutter",VAN,C,7,80," "," "," "," ",21,12,6,180,4,5,4,86,688
153,"Scott Darling",CHI,G,6,15,1,0.936,1.95,9," "," "," "," "," "," "," "," "," "
154,"Jonas Hiller",CGY,G,6,52,4,0.918,2.41,26," "," "," "," "," "," "," "," "," "
155,"Mikko Koivu",MIN,C,6,80," "," "," "," ",14,34,2,179,4,15,0,40,989
156,"Kevin Klein",NYR,D,6,65," "," "," "," ",9,17,24,76,4,0,0,126,0
157,"Trevor Daley",CHI,D,6,68," "," "," "," ",16,22,-13,113,2,12,2,29,0
158,"Marco Scandella",MIN,D,5,64," "," "," "," ",11,12,8,112,4,5,1,90,0
159,"Hampus Lindholm",ANA,D,5,78," "," "," "," ",7,27,25,107,1,6,0,59,0
160,"Patrick Marleau",SJS,C,4,82," "," "," "," ",19,38,-17,233,4,24,0,85,171
161,"James van Riemsdyk",TOR,LW,4,82," "," "," "," ",27,29,-33,248,4,19,1,83,21
162,"Mike Cammalleri",NJD,LW,3,68," "," "," "," ",27,15,2,156,8,11,2,30,119
163,"Ondrej Pavelec",WPG,G,3,50,4,0.92,2.33,22," "," "," "," "," "," "," "," "," "
164,"Brandon Saad",CBJ,LW,3,82," "," "," "," ",23,29,7,203,6,10,0,53,38
165,"Eric Fehr",PIT,RW,3,75," "," "," "," ",19,14,8,142,4,1,1,84,449
166,"Antti Niemi",DAL,G,2,61,5,0.914,2.64,31," "," "," "," "," "," "," "," "," "
167,"Justin Abdelkader",DET,LW,1,71," "," "," "," ",23,21,3,154,5,14,0,153,7
168,"Jaromir Jagr",FLA,RW,1,77," "," "," "," ",17,30,-3,169,5,11,0,30,1
