Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
543,"Alex Chiasson",OTT,RW,-73,56," "," "," "," ",10,13,-8,90,2,7,0,62,24
544,"Petteri Lindbohm",STL,D,-73,23," "," "," "," ",2,1,-1,32,0,0,0,26,0
545,"Chris Kelly",BOS,C,-73,64," "," "," "," ",6,14,1,83,1,0,1,90,253
546,"Shane O'Brien",ANA,D,-74,34," "," "," "," ",0,3,-5,20,0,0,0,56,0
547,"Anton Khudobin",ANA,G,-74,30,0.915,2.47,36,3," "," "," "," "," "," "," "," "," "
548,"Peter Harrold",STL,RW/D,-74,38," "," "," "," ",2,3,-8,38,0,1,0,30,0
549,"David Jones",CGY,RW,-74,57," "," "," "," ",9,13,-5,107,1,2,0,103,20
550,"Tom Wilson",WSH,RW,-74,75," "," "," "," ",4,10,1,71,0,1,0,201,1
551,"Mark Stone",OTT,RW,-74,35," "," "," "," ",10,14,9,67,2,4,0,24,3
552,"Dale Weise",MTL,RW,-74,69," "," "," "," ",6,14,6,64,1,0,0,127,2
553,"Alex Biega",VAN,D,-74,7," "," "," "," ",1,0,-2,7,1,0,0,34,0
554,"Ryan Reaves",STL,RW,-74,72," "," "," "," ",4,6,0,39,1,0,0,239,3
555,"Mirco Mueller",SJS,D,-74,39," "," "," "," ",1,3,-8,31,0,0,0,49,0
556,"Tyson Strachan",MIN,D,-74,43," "," "," "," ",0,5,-19,37,0,0,0,88,0
557,"Shawn Horcoff",ANA,C,-74,69," "," "," "," ",8,15,7,71,1,5,0,62,230
558,"Brandon Manning",PHI,D,-75,10," "," "," "," ",0,3,4,7,0,0,0,21,0
559,"Kris Versteeg",CAR,LW/RW,-75,53," "," "," "," ",9,16,1,108,1,5,0,23,24
560,"Erik Haula",MIN,C/LW,-75,59," "," "," "," ",7,8,3,74,2,1,1,27,211
561,"Ryan Carter",MIN,C/LW,-75,63," "," "," "," ",5,10,-2,71,1,0,2,79,29
562,"Zach Trotman",BOS,D,-76,14," "," "," "," ",1,2,-1,23,0,0,0,22,0
563,"Joe Morrow",BOS,D,-76,15," "," "," "," ",1,0,3,20,0,0,0,18,0
564,"Jimmy Hayes",BOS,RW,-76,48," "," "," "," ",10,10,-3,86,1,5,0,95,6
565,"Jonathon Blum",MIN,D,-77,26," "," "," "," ",0,4,-2,20,0,0,0,21,0
566,"Michael Hutchinson",WPG,G,-77,22,0.916,2.31,23,2," "," "," "," "," "," "," "," "," "
567,"Zack Kassian",MTL,RW,-77,61," "," "," "," ",10,12,-6,77,2,2,0,98,4
568,"Bryce Salvador",NJD,D,-77,41," "," "," "," ",0,3,-8,29,0,0,0,45,0
569,"Julien Brouillette",WPG,D,-77,6," "," "," "," ",1,0,2,2,1,0,0,6,0
570,"Maxim Lapierre",PIT,C/RW,-77,78," "," "," "," ",5,9,-9,85,1,0,0,139,293
571,"Marcus Kruger",CHI,C,-77,81," "," "," "," ",6,16,2,105,2,1,0,24,341
572,"Brandon Gormley",COL,D,-78,16," "," "," "," ",1,1,-2,22,0,1,0,16,0
573,"Derek Dorsett",VAN,RW,-78,57," "," "," "," ",5,11,-3,71,1,0,1,119,7
574,"Luke Witkowski",TBL,D,-78,15," "," "," "," ",0,0,1,9,0,0,0,34,0
575,"Melker Karlsson",SJS,C/RW,-78,52," "," "," "," ",13,11,-3,97,2,1,0,50,13
576,"Dave Bolland",FLA,C,-78,45," "," "," "," ",7,13,-3,63,1,4,1,69,266
577,"Xavier Ouellet",DET,D,-78,13," "," "," "," ",1,1,2,16,0,0,0,9,0
578,"Jay McClement",CAR,C,-78,81," "," "," "," ",6,13,-5,70,1,0,0,115,474
579,"Chad Ruhwedel",BUF,D,-79,12," "," "," "," ",0,1,0,18,0,1,0,13,0
580,"Jarred Tinordi",MTL,D,-79,16," "," "," "," ",0,2,-1,8,0,0,0,29,0
581,"Craig Adams",PIT,RW,-79,78," "," "," "," ",3,8,-6,66,0,0,1,186,43
582,"Justin Falk",CBJ,D,-79,34," "," "," "," ",0,3,-10,25,0,0,0,47,0
583,"Damien Brunner",NJD,RW,-79,51," "," "," "," ",8,16,-8,110,1,10,0,18,2
584,"Stefan Elliott",ARI,D,-79,12," "," "," "," ",1,2,-3,24,0,1,0,7,0
585,"Darren Helm",DET,C,-79,39," "," "," "," ",9,8,2,81,1,3,1,69,166
586,"Stuart Percy",TOR,D,-79,9," "," "," "," ",0,3,-4,13,0,2,0,14,0
587,"Marko Dano",CHI,C,-79,35," "," "," "," ",8,13,12,84,1,0,0,94,16
588,"Alex Petrovic",FLA,D,-80,16," "," "," "," ",0,1,-4,13,0,0,0,39,0
589,"Chris Summers",NYR,D,-80,16," "," "," "," ",1,1,-5,13,0,0,0,34,0
590,"Dainius Zubrus",NJD,C/LW/RW,-80,64," "," "," "," ",6,10,-4,77,1,0,1,86,88
591,"Viktor Stalberg",NYR,LW/RW,-81,58," "," "," "," ",6,15,1,104,1,1,0,61,1
592,"Riley Nash",CAR,C,-81,65," "," "," "," ",7,15,-5,81,1,4,0,76,305
593,"Patrik Nemeth",DAL,D,-81,15," "," "," "," ",0,2,-2,10,0,0,0,22,0
594,"Jeff Schultz",LAK,D,-81,27," "," "," "," ",0,3,-4,14,0,0,0,20,0
595,"Gabriel Bourque",NSH,LW/RW,-81,67," "," "," "," ",8,13,-5,88,1,2,0,94,2
596,"Trevor Van Riemsdyk",CHI,D,-81,18," "," "," "," ",1,0,0,22,0,0,0,4,0
597,"Taylor Fedun",VAN,D,-81,5," "," "," "," ",1,2,-1,8,0,1,0,1,0
598,"Greg Pateryn",MTL,D,-82,11," "," "," "," ",0,0,0,5,0,0,0,25,0
599,"Joe Colborne",CGY,C/LW/RW,-82,51," "," "," "," ",6,13,-4,52,1,3,0,100,134
600,"Brandon Pirri",FLA,C/LW/RW,-82,33," "," "," "," ",12,5,4,74,2,4,0,21,98
601,"Zack Smith",OTT,C,-82,66," "," "," "," ",6,10,-10,114,0,1,0,134,385
602,"Griffin Reinhart",EDM,D,-82,8," "," "," "," ",0,1,1,4,0,0,0,14,0
603,"Danny Briere",COL,C/RW,-82,61," "," "," "," ",9,11,-7,105,2,5,0,22,82
604,"Matthew Nieto",SJS,LW,-82,59," "," "," "," ",9,13,-9,112,1,4,1,15,2
605,"Andrew Campbell",ARI,D,-82,18," "," "," "," ",0,1,-6,16,0,0,0,34,0
606,"Mat Clark",COL,D,-82,7," "," "," "," ",0,1,2,2,0,0,0,10,0
607,"David Warsofsky",PIT,D,-82,5," "," "," "," ",1,1,1,9,0,0,0,1,0
608,"Alexey Marchenko",DET,D,-83,7," "," "," "," ",1,0,2,4,0,0,0,5,0
609,"Andrew Macwilliam",WPG,D,-83,12," "," "," "," ",0,2,-6,5,0,0,0,35,0
610,"Anders Lee",NYI,C,-83,34," "," "," "," ",12,7,3,90,2,3,0,73,1
611,"Danny Biega",CAR,D,-83,10," "," "," "," ",0,2,-5,7,0,0,0,27,0
612,"Tuomo Ruutu",NJD,LW/RW,-83,60," "," "," "," ",6,10,-10,75,1,1,0,157,6
613,"Stu Bickel",MIN,D,-83,18," "," "," "," ",0,1,-1,4,0,0,0,17,0
614,"Brooks Laich",WSH,C/LW,-83,44," "," "," "," ",5,9,-2,67,1,2,1,64,110
615,"Mike Santorelli",ANA,C,-83,56," "," "," "," ",7,17,0,90,1,1,1,32,115
616,"Brian Dumoulin",PIT,D,-83,7," "," "," "," ",1,0,1,4,0,0,0,6,0
617,"PA Parenteau",TOR,RW,-83,55," "," "," "," ",8,14,0,94,1,4,0,32,10
618,"Jiri Sekac",ANA,LW/RW,-84,69," "," "," "," ",9,14,-1,85,0,3,0,75,0
619,"Tomas Kopecky",FLA,RW,-84,64," "," "," "," ",7,12,-11,118,0,4,1,57,18
620,"Erik Condra",TBL,RW,-84,75," "," "," "," ",6,14,5,102,0,0,1,28,4
621,"Barclay Goodrow",SJS,C/RW,-84,60," "," "," "," ",4,8,-1,68,2,0,1,76,12
622,"Brad Richardson",ARI,C,-84,48," "," "," "," ",7,11,1,64,1,1,1,52,279
623,"Petter Granberg",TOR,D,-84,4," "," "," "," ",0,0,1,1,0,0,0,10,0
624,"Karl Stollery",SJS,D,-85,6," "," "," "," ",0,0,0,5,0,0,0,10,0
625,"Curtis Lazar",OTT,C,-85,66," "," "," "," ",6,8,0,92,0,0,0,164,127
626,"David Musil",EDM,D,-85,3," "," "," "," ",0,2,-1,2,0,0,0,4,0
627,"Colin McDonald",PHI,RW,-85,55," "," "," "," ",6,12,-11,86,0,0,0,169,4
628,"Brad Hunt",EDM,D,-85,7," "," "," "," ",1,1,-5,11,0,1,0,4,0
629,"Drew Miller",DET,LW/RW,-85,79," "," "," "," ",5,9,-8,102,1,1,0,123,5
630,"Ryane Clowe",NJD,LW/RW,-85,41," "," "," "," ",4,17,-4,76,0,5,0,87,2
631,"Tyler Kennedy",NYI,LW/RW,-85,61," "," "," "," ",5,12,-7,131,1,2,0,58,28
632,"Patrick Eaves",DAL,LW/RW,-86,45," "," "," "," ",6,10,1,75,1,5,0,62,5
633,"Frank Corrado",VAN,D,-86,10," "," "," "," ",1,0,-4,11,0,0,0,11,0
634,"Martin Havlat",NJD,LW/RW,-86,54," "," "," "," ",7,15,-3,93,1,7,0,11,1
635,"Cory Conacher",VAN,LW,-86,58," "," "," "," ",6,17,0,78,1,2,0,45,5
636,"Tomas Jurco",DET,LW/RW,-86,50," "," "," "," ",6,11,3,85,0,3,0,82,0
637,"Michael Paliotta",CBJ,D,-86,1," "," "," "," ",0,1,0,2,0,0,0,0,0
638,"Slater Koekkoek",TBL,D,-86,3," "," "," "," ",0,0,0,6,0,0,0,2,0
639,"Anthony Bitetto",NSH,D,-86,7," "," "," "," ",0,0,-1,2,0,0,0,9,1
640,"Vincent Trocheck",FLA,C/RW,-86,35," "," "," "," ",6,9,-1,63,0,1,1,66,197
641,"Brandon Davidson",EDM,D,-86,11," "," "," "," ",1,0,-5,6,0,0,0,17,0
642,"FrÉdÉric St-denis",CBJ,D,-86,4," "," "," "," ",0,1,-1,2,0,0,0,2,0
643,"Rasmus Rissanen",CAR,D,-86,6," "," "," "," ",0,0,-5,3,0,0,0,25,0
644,"Taylor Chorney",WSH,D,-87,7," "," "," "," ",0,0,-1,4,0,0,0,5,0
645,"Tyler Wotherspoon",CGY,D,-87,8," "," "," "," ",0,2,-3,2,0,0,0,4,0
646,"Jake Mccabe",BUF,D,-87,5," "," "," "," ",0,1,-2,2,0,0,0,5,0
647,"Valeri Nichushkin",DAL,RW,-87,44," "," "," "," ",7,11,8,67,1,2,0,47,0
648,"Kyle Cumiskey",CHI,D,-87,7," "," "," "," ",0,0,-1,5,0,0,0,3,0
649,"Joe Piskula",ANA,D,-87,2," "," "," "," ",0,0,0,1,0,0,0,1,0
650,"Duncan Siemens",COL,D,-87,1," "," "," "," ",0,0,0,0,0,0,0,2,0
651,"Conor Allen",NSH,D,-87,4," "," "," "," ",0,0,-1,2,0,0,0,4,0
652,"John Ramage",CBJ,D,-87,1," "," "," "," ",0,0,-1,4,0,0,0,2,0
653,"Emerson Etem",NYR,LW/RW,-87,46," "," "," "," ",5,8,2,70,1,0,1,65,1
654,"Dylan Reese",ARI,D,-87,3," "," "," "," ",0,0,-1,3,0,0,0,2,0
655,"Brett Kulak",CGY,D,-87,1," "," "," "," ",0,0,0,0,0,0,0,0,0
656,"Philip Samuelsson",ARI,D,-87,5," "," "," "," ",0,0,-2,5,0,0,0,4,0
657,"Cameron Schilling",CHI,D,-88,2," "," "," "," ",0,0,-1,2,0,0,0,2,0
658,"Andrew Desjardins",CHI,LW,-88,74," "," "," "," ",3,9,-6,78,1,0,0,109,188
659,"Darnell Nurse",EDM,D,-88,2," "," "," "," ",0,0,-2,2,0,0,0,5,0
660,"Keegan Lowe",CAR,D,-88,1," "," "," "," ",0,0,-1,0,0,0,0,2,0
661,"Dylan McIlrath",NYR,D,-88,2," "," "," "," ",0,0,-1,0,0,0,0,2,0
662,"Rene Bourque",CBJ,RW,-88,53," "," "," "," ",7,9,-6,101,1,3,0,75,3
663,"Jordan Oesterle",EDM,D,-88,6," "," "," "," ",0,1,-4,7,0,0,0,2,0
664,"Mark Alt",PHI,D,-88,1," "," "," "," ",0,0,-1,0,0,0,0,1,0
665,"Steve Downie",ARI,LW/RW,-89,46," "," "," "," ",6,12,1,65,1,3,0,61,3
666,"Shayne Gostisbehere",PHI,D,-89,2," "," "," "," ",0,0,-2,2,0,0,0,0,0
667,"Jesse Blacker",FLA,D,-89,1," "," "," "," ",0,0,-2,0,0,0,0,1,0
668,"Paul Byron",CGY,C/LW,-90,37," "," "," "," ",4,10,1,37,0,1,2,57,16
669,"Karri Ramo",CGY,G,-90,37,0.911,2.49,32,5," "," "," "," "," "," "," "," "," "
670,"Mike Hoffman",OTT,C/LW,-90,36," "," "," "," ",10,8,4,89,1,2,0,22,5
671,"Tanner Glass",NYR,LW,-90,71," "," "," "," ",2,6,-12,57,0,0,0,231,12
672,"Eddie Lack",CAR,G,-91,42,0.915,2.65,33,5," "," "," "," "," "," "," "," "," "
673,"Jay Beagle",WSH,C,-92,69," "," "," "," ",5,10,-2,80,1,0,0,88,254
674,"Scott Harrington",TOR,D,-92,10," "," "," "," ",0,0,-10,9,0,0,0,12,0
675,"Tanner Pearson",LAK,LW,-93,34," "," "," "," ",8,4,8,50,2,1,0,41,3
676,"Simon Gagne",BOS,LW/RW,-94,44," "," "," "," ",4,10,-1,74,0,4,1,32,2
677,"Kyle Chipchura",ARI,C,-95,76," "," "," "," ",5,14,-7,63,0,0,0,120,255
678,"Brian Flynn",MTL,C,-95,62," "," "," "," ",6,9,-4,85,0,0,2,39,127
679,"Ben Smith",SJS,RW,-95,52," "," "," "," ",7,7,2,61,1,1,0,37,168
